No.	Text	Valence_Mean	Arousal_Mean	Valence_SD	Arousal_SD	Category
2213	然而，對於發行商來說，這些服務似乎真的是有利可圖的，EA剛剛宣佈，依靠這些服務，公司在2018/2019財年的第四和最後一個季度實現了強勁增長。	6.889	4.000	0.875	1.944	news
896	貢獻下驅動地址	5.000	1.000	0.0	0.0	laptop
1387	有趣的是，現場還臨時上演一段粉絲見面會，陳美鳳也熱情迴應，給予庇護員工「愛的抱抱」。	6.125	4.286	0.599	1.485	news
2698	2019亞洲身心障礙桌球錦標賽，7月將在靜宜大學舉行，傳出經費還沒有著落，擔任臺中市身障體育總會理事長的議員陳清龍，業務質詢時，批評運動局罔顧身障者運動權。	3.444	5.889	0.497	1.595	news
512	真的!!不怕死的就買TOYOTA;安全配備極差，開船上路還亂開的不少，要小心被撞~怕死的就買FOCUS;版金好	3.500	5.333	0.866	1.563	car
2299	持續脫水，尿液少、不易排出體內廢物，就可能形成結石或泌尿道感染；同時腎臟血量減少，血液變濃稠，氧氣及營養的供給停滯，也會損害腎臟細胞	3.000	3.778	0.707	1.75	news
86	我決定把這本書借她看看，讓她覺悟，讓她陰暗的心裏面重見陽光。	6.444	5.875	0.831	0.927	book
1939	並稱施亞努太皇是中國人民的老朋友，同中國幾代領導人，都有深厚的友誼，對中柬關繫有重大貢獻。	5.778	5.000	0.916	0.707	political
1411	帶隊的中華創新發明學會秘書長吳智堯說，易吉益利用生活中食材廢棄品製成可分解的包裝物材，具環境生態保護概念，獲得大會青睞。	6.556	5.000	0.497	0.632	news
807	我只說說缺點，拿到手後發現風扇發出很尖銳的高頻聲音，安靜的時候很是不爽。	3.000	6.375	0.0	1.218	hotel
2207	升級貿易摩擦不符合兩國人民和世界人民的利益，中方對此深表遺憾，如果美方關稅措施付諸實施，中方將不得不採取必要反制措施。	3.714	4.667	0.452	1.333	news
136	這本書倒挺適合那些做選擇時前思後想的女孩閱讀。	5.778	3.625	0.786	1.409	book
452	安全與否，眾說紛紜，你之所以提出TOYOTA不安全的疑慮，就要給個建議性的解答，回文沒有必要避重就輕，不然你提出的疑慮就白費了....你跟我說等有一天你能買車時，我真的笑了..小弟很早就買車了，開的車也不怕你知道，九年前買的TOYOTAVX-4	4.625	4.571	0.484	1.294	car
747	最近我和幾個朋友自駕游去揚州，經朋友介紹住在新世紀，第一感覺停車場特別大，可以同時停放約300--400輛車.	5.444	4.625	0.497	0.992	hotel
441	和泰今年EPS應該超過13元	5.750	5.556	0.829	0.956	car
2233	華為也將在遵守適用的法律法規基礎上，一如既往地積極參與到相關標準與產業組織中，通過不懈貢獻，與客戶和夥伴一起，構建良性健康、公平開放、可持續發展的產業生態。	5.875	2.875	0.781	1.364	news
2208	四月下旬，在這條原本平坦的道路上發生了一次事故，當時對龍號載人飛船的一次測試導致了爆炸，並且讓龍號載人飛船完全損毀。	3.000	5.300	0.816	1.847	news
876	3：完美屏，反應速度很快，機器整體功能還在測試。	5.889	4.714	0.737	1.278	laptop
1376	針對江母死因，地檢署昨委請前刑事警察局法醫研究所主任石開平相驗，解剖遺體後發現江母脖子上有不明顯勒痕，窒息死亡無誤。	3.286	3.125	0.452	1.269	news
2353	最新訊息是，這名瘋狂的半癱瘓男子已經駕駛著自己的PolarisRZR，成功地在探索頻道的見證下完成了這項挑戰。	6.429	4.250	0.495	2.278	news
881	鍵盤手感極好，打字噪音小。	6.667	4.444	0.667	1.165	laptop
1951	阿富汗母親：「我們沒有足夠食物，有時候孩子什麼都沒得吃，如果我丈夫有工作，就可以有食物，如果沒有，大家都得捱餓。	2.875	5.000	0.781	0.816	political
376	我覺得你們這些再說人家派工讀生也很好笑...哪一點讓你知道他是工讀生?	3.333	6.571	1.155	0.495	car
1069	自開航以來，從內部員工安全教育、導入新科技作業系統，到落實航機維修、地勤作業及飛行操作，以確保飛安品質。	5.778	4.000	0.629	0.926	news
2961	美國的網路安全業者PaloAltoNetworks近日宣佈已與兩家業者簽署併購協議，一是專精於容器安全的Twistlock，另一為無伺服器運算安全業	5.250	3.222	0.433	1.931	news
2412	其實這不是一個非黑即白的世界，所以我很難用潛規則和黑幕這樣的形容詞來表達一些現象，但是很願意寫一些令車主們費解卻又客觀存在的事實。	4.875	4.286	0.599	1.161	news
678	試想一下，當夜已很深，你正準備入眠的時候	4.889	5.000	0.314	0.756	hotel
1267	有些寵物友善餐廳就跟可以帶小孩去玩去叫的「親子餐廳」一樣，放任自家寶貝在室內亂跑，然後惹毛別家的寶貝還要說「哇！	3.143	5.143	0.99	0.833	news
2347	正方形相紙無須剪裁、方便直接列印社群媒體如Instagram相片，亦適合製作賀卡或裝飾物，照片貼紙可以隨意裁切至不同尺寸及多種有趣造型。	5.667	4.667	0.471	0.943	news
2907	就算從最現實短淺的角度來看，臺灣已經從貿易戰中獲得直接的好處了；更不用說，MIT將成為臺灣年輕人的絕佳機會！	6.750	4.500	0.829	2.121	news
894	全鍵盤帶數字鍵的顯卡足夠強大.	6.556	5.500	0.497	0.5	laptop
2669	他出席廉署第七屆國際會議致辭時表示，建立一個廉潔及公義的社會，香港視廉潔及法治為極度重要的基本價值，是香港繼續成為國際大都市的基石。	6.333	3.000	0.816	1.414	news
1015	顯示效果好，很白很透亮。	6.625	4.500	0.484	1.118	laptop
703	與之前的評價不符，a距離春圓海鮮廣場沒那麼近．b樓下的金鳳凰廣場也沒有想的那麼好．總之：下回不會在選擇了，還不如花少錢住三亞灣的小型度假村或花同樣的錢住環境好的亞龍灣	3.143	4.571	0.35	0.904	hotel
2640	然而在上個月，哥斯大黎加的一個小鎮上空卻出現了一個潮溼宇宙粘土，它在空中裂開並落下一種罕見的隕石碎片。	5.000	5.556	0.0	1.707	news
2411	本文要指出，林岱樺版大致合憲、符合公投甚至合乎同志的利益、立場及處境──雖然提案者的主觀意圖重點不在此。	5.222	3.111	0.416	1.792	news
2816	據聯合國釋出的報告表示，大部分虛擬助手的聲音都是有著年輕女性的特質，這加劇了女性即使在被粗魯對待也仍然是溫順、能滿足需要的刻板印象。	3.571	5.167	0.495	0.373	news
1728	中國共產黨十八屆一中全會昨天閉幕，第五代領導人由習近平接棒，國民黨主席馬英九立即致發賀電，向習近平表達祝賀，期盼兩岸強化互信、真誠合作以因應新的挑戰，並創造更多和平紅利，造福兩岸人民。	6.444	5.250	0.497	0.661	political
2325	習近平在賀電中表示，值此陛下加冕之際，我謹代表中國政府和中國人民，並以我個人的名義，向你和泰國人民致以誠摯的祝賀和良好的祝願。	6.667	4.500	0.471	0.957	news
2394	蔡司高品質鏡片，適合高度近視，鏡框任選~天貓祥和視界眼鏡專營店兩片售價1185元，值友可領取685元優惠券，享受到手價500元2片，喜歡的值友不要錯過。	6.111	4.111	0.737	1.853	news
1944	後因健康問題長期僑居北京接受治療。	4.100	4.500	0.831	1.118	political
488	平常熱血的我看到跑車玩drift或powerslide偶爾也會覺得挖~好酷!!..我也要努力賺錢!!可是這次看完影片我個人只覺得........	4.333	4.889	1.247	1.286	car
434	打一下那種的感覺，會覺得全身都麻了的，如果大多的話，可能會震死吧！	4.000	5.500	0.943	0.957	car
2582	看圖說故事對人類來說輕而易舉，但是對電腦而言看到一張影像能夠描繪其物件、場景與動作則需要靠電腦視覺、自然語言處理、深度學習等多種技術的匯集。	5.333	3.000	0.667	1.563	news
2722	我童年挺快樂，父母和睦家庭優渥，朋友對我挺好，我學習成績也挺好，唯一的煩惱可能就是中午食堂自己最愛吃的小炒肉又放了香菜。	5.429	3.556	0.495	1.343	news
2615	谷歌原生Android系統提供乾淨無懈可擊的使用者體驗和更快的更新，但與此同時，它缺少可螢幕滾動截圖等基本功能。	4.571	3.714	0.495	1.278	news
2326	近日，一則辦理去美國的簽證時，居然要上報自己的QQ和微博賬號給美國政府審查的訊息在網路上熱傳，並引起了一些中國網民的擔心，是不是以後不能隨便批評美國了。	3.167	5.833	0.373	0.687	news
222	她長大，總能在合適的時候給所愛的女人最好的愛護，雖然很多時候他們並不能見面，甚至連話都說不上，但心底的那個角落永遠	4.714	3.875	0.7	0.781	book
1020	螢幕15.4的，寬屏16：10看電影不錯內存一個G鍵盤我就不說了，IBM的鍵盤是世界公認手感和質量最好的硬盤250G，我一般是下載的480p的mkv格式的電影，一部電影也就1.5GB左右，哈哈，這個硬盤裝了一百多部電影是綽綽有餘的CUP是雙核的1.6G主頻，雖然是比較低端的賽揚系列，但是只要不是運算大型的專業軟件什麼的，同酷睿、奔騰的差距是基本區分不出來的	5.500	3.375	0.5	0.992	laptop
2093	值得注意的是這裡的平臺並不是指汽車底座的金屬結構，而是涵蓋了汽車的電子基礎，完全專注於為汽車提供現代連線的佈線和元件。	5.000	2.000	0.0	1.414	news
1127	總統馬英九今天發表除夕談話，除許下3個願望，也要大家放心，新的1年裏，「我們的經濟、我們的生活，一定會更好。	6.333	4.429	0.816	1.917	news
2332	為保障使用者自由選擇權，兩部門在通知中要求運營商嚴禁限制老使用者選擇新套餐等行為，切實增強使用者獲得感。	5.625	4.000	0.857	1.118	news
1371	許文雄於民國98年間因涉及職棒放水打假球案，不僅遭球隊開除，面臨沒有球打的失業困境，還被法院判決必須賠償原所屬球隊違約金新臺幣100萬元。	3.500	4.625	1.025	1.111	news
1776	有不同意見的媒體，沒有批判我的言論自由。	4.625	3.857	0.857	0.833	political
287	凡走過必留痕跡，在T版大聲說安全才重要的，有些還不是為了一些小毛病、小異音、小路感...等，要求原廠處理，如果真這麼在乎安全，又還必在乎其它東西	3.333	6.000	0.471	0.816	car
1088	兒盟表示，偏鄉弱勢孩子不僅吃不好、穿不暖、生活貧困，學習貧窮的狀況更令人擔心，包括學習資源、學習能力和學習機會也都相對貧窮，這樣的情況令人憂心，也擔心這些孩子的未來會陷入繼續貧窮的循環。	3.444	5.375	1.066	1.111	news
268	對於那些聰明的女子來說，更是一個完美的人生嚮導適合珍藏及細讀的一本書!推薦	6.778	5.600	0.629	0.49	book
2875	江西上饒市10日發生一起校園凶殺案，一名學生家長持刀衝進教室，衝著一名劉姓學生猛捅13刀，在場學生目睹行兇過程都被嚇呆。	1.714	7.857	0.881	1.125	news
1249	潘振強還指出，在釣魚臺問題上，美國含糊的態度，鼓勵了日本右傾勢力，「美國不要做得太過火，如果中日發生衝突，美國人的日子是很難過的。	4.000	4.857	1.054	1.884	news
2953	委內瑞拉緊繃局勢持續升高，委內瑞拉邊境爆發槍響，連結委國和哥倫比亞的西蒙玻利瓦爾國際大橋的附近道路槍聲大作，當時企圖跨越邊境的委國民眾全嚇得到處躲避。	3.000	6.714	0.756	1.278	news
1700	剛開完一整天的會，好不容易抽空上來看了一下	5.143	4.625	0.35	0.857	political
2768	從輪迴轉世的角度來看，人世就如一個巨大的舞臺，人們反覆地登臺退場，在舞臺上演繹著悲歡離合、愛恨情仇，平衡著各自的相欠，同時學習各種經驗和教訓。	5.571	4.000	0.495	1.414	news
2096	前不久，一位女子利用7天無理由退貨等服務規定，天天穿名牌新衣服，然後再申請退貨的事情在網上鬧得沸沸揚揚。	3.556	5.000	0.497	0.943	news
1400	反對加入歐盟的在野黨社會黨預期，和平獎將引發改組諾貝爾委員會的辯論。	4.625	4.889	0.484	0.314	news
516	如果因為2.5的稅金還有一些優勢不存，再加上很多安全配備被削減而導致銷量驟減。	4.000	4.571	0.0	1.05	car
817	酒店的設施極端簡陋，洗手間裏連浴簾都沒有，洗個澡滿屋子的水！	2.625	6.250	0.484	1.561	hotel
1955	CNN記者：「其中69%被抓的小孩，年紀是在14歲以下，最年輕的甚至只有8歲，98%說他們受虐或是親眼目睹過施虐暴行。	2.600	5.714	1.2	0.452	political
210	小說更對女性在“法醫”這一“男性”職業之種種身心壓力、人際壓力、規則壓力的包圍下，如何堅定地維護正義、呵護親情和愛情，進行了細緻入微地表現。	6.000	4.625	0.775	1.317	book
2108	即使僅僅按照瑞幸2018年2.4億美元的淨虧損速度，不考慮它維持增長需要增加的投入，也不過是支撐2到3年的時間。	3.111	4.556	0.875	1.165	news
995	電池不是原裝，我懷疑是水貨	3.111	5.167	0.737	0.898	laptop
701	酒店的泳池還不如比它小的酒店漂亮。	3.600	3.833	0.49	0.898	hotel
541	首先非常感謝您選擇東方大酒店，也非常感謝您給我們提出了寶貴的意見，酒店近期樓頂正在加層建造西餐廳	6.125	3.833	0.331	0.898	hotel
1716	另外，歐巴馬展現自己愛家的一面。	5.778	4.125	0.629	1.166	political
9	書中攝影作品以及文字都向讀者呈現另一個完全不同的時空，我想熱衷於此苦旅之樂的人們，受得起苦，覺得萬分值得的也是這一份精神體驗的快樂。	6.333	5.625	0.471	0.484	book
1074	外交人士透露，我方對中國僑民申請護照的審覈相當嚴謹，「申請人大概要是諾貝爾獎得主纔可能成功吧！	4.125	4.167	0.927	1.067	news
1451	非客家籍的郝市長以客語致詞，博得臺下鄉親們的掌聲鼓勵。	6.556	5.444	0.685	0.831	news
2462	有個男人，少年得志、放浪形骸、花天酒地，在人生路上跌一跤之後，沈潛十數年，突然對一位條件很好的女性展開追求。	5.400	6.000	0.49	1.414	news
594	早餐嗎？別說可口和品種多樣了，不誇張地說，連填飽肚子都成問題，不行你就去試試！	3.143	6.857	0.35	0.639	hotel
2569	立法會祕書長陳維安昨主動解畫，重申祕書處一直以來恪守不偏不倚的原則，惟部分人的批判言論近乎欺淩及滋擾，對祕書處極不公道，望有關人士停止攻擊。	3.375	5.750	0.484	0.829	news
370	影音設備...這個部分有改善。	5.444	2.889	1.423	0.737	car
2296	蘋果的回答是肯定的，從去年下半年開始，蘋果頻頻對外釋出向服務轉型的訊號，甚至在今年的春季釋出會上，徹底拋開硬體，全力宣傳其流媒體和金融服務。	5.778	5.333	0.416	0.667	news
201	怕再次傷心，上次看完，之後的一個禮拜我都沉靜在那揮之不去的心痛和傷感中，但是這次還是不由自主的翻開了，也許一切都是命運的安排，凝夕和司夜兩個就像夕陽和夜晚，永遠不能共存，兩個不懂愛的人在彼此的傷害中感受愛，也許從凝夕出生開始她就註定要像櫻花凋謝那般死去~~美麗還慘烈.....	3.250	4.625	0.829	1.728	book
250	所以英諾森提的插圖本身就是宏偉圖畫，值得慢慢品味。	6.333	5.250	0.471	0.829	book
2911	賴清德說到，他對黨主席卓榮泰很欽佩，面對27位中執委提案修改選舉辦法，他有道德勇氣維護黨的制度，站在制度面。	6.375	5.500	0.484	0.707	news
875	我是3699購買的，呵呵。	5.625	4.571	0.857	1.05	laptop
80	而且這書中英對照，也可以對小朋友灌輸一下一些簡單的英文。	5.778	2.875	0.786	0.331	book
2192	網上有打工仔就面對兩難局面，佢從事IT工作，突然被問有冇興趣返內地打工，工作地點係三?城市邯鄲，冇地鐵要?車，做IT程式開發員??	5.167	3.750	0.373	2.385	news
1892	政壇的敏感神經，而結論不就是希望阿扁能夠保外就醫，最好是能夠獲得馬英九總統的特赦，恢復阿扁的自由之身。	3.875	5.625	0.927	0.992	political
106	不足之處：沒有對部分比較難的單詞做出註釋（有些詞一般的字典是查不到的）。	4.100	4.111	0.831	0.875	book
2853	雖然微信的功能開放比較克制，不過微信支付的協力廠商服務卻動不動搞個小動作，目前協力廠商服務已經多達12個，比騰訊自家的9個服務還要多。。	5.571	3.286	0.904	1.278	news
88	我希望每一個愛讀書的人，都能好好看看這方面的書，推薦給親朋好友也看一看，讓每一個人在生命受到威脅時都能做出正確的選擇。	6.600	5.444	0.49	0.685	book
868	機器運行狀態有些電源等等的白色指示燈很漂亮內置話筒和攝像頭視頻比較方便人性化的設置比較多如開機狀態在電源插入和拔出的時候有警告聲易於控制工作時間靜音鍵快捷導航鍵等等還是有一些比較出色的UE方面的設計發熱量一般有好幾種電源模式可選送貨速度快服務好	6.500	3.750	1.118	1.561	laptop
45	這無可厚非，人應該先愛自己，才能去愛別人。	5.429	3.500	0.495	1.323	book
2644	Facebook表示，能吸引使用者重複觀看的視訊會有更高的優先順序，同時觀眾會乖乖觀看最少一分鐘，甚至3分鐘的話，更會有更高的權重。	5.250	3.556	0.433	1.257	news
