Text	Valence_Mean	Arousal_Mean	Valence_SD	Arousal_SD
我們憶起了那些我們忘卻的艱辛	5.667	4.0	0.471	2.121
能讓我看到兔子被偶像點名債D的表情	6.0	4.333	0.816	2.494
當基督徒向他們發出關於這些精神實體的警告時	4.0	4.6	0.0	1.855
有自信會活得比較開心一點	7.5	6.0	0.5	0.0
原因歸咎於只靠紅色權貴基因庫挑選	3.4	6.0	0.49	0.0
斯柯達看風景的繼續反饋可讀性的小組賽隨時隨地很好的回答你的決定繼續舒適度度假酒店不得不服厚度和道德大型活動基督教反對基督教機動車的很多很多很多很好的很多很多很多哈哈哈哈打交	5.0	3.5	0.0	2.5
大小不一奇形怪狀	5.0	3.0	0.0	1.581
家家來學廣東話全場感人大合唱	6.5	5.0	0.5	0.707
還輪得到他們一天到晚在網上放屁	3.0	7.5	0.0	0.5
把日軍的進攻引到了共畜區	5.5	6.5	0.5	1.5
損壞是一件顯而易見的?	5.0	4.0	0.0	0.0
維護自己的尊嚴	6.0	3.75	0.707	1.785
碧雲引風吹不斷	5.5	4.5	0.5	0.5
又如何可以推動社會變革呢	4.0	5.75	0.0	0.829
恭敬頂禮本師大悲尊	7.0	7.0	0.0	0.0
出於善意真噁心	2.6	6.0	0.49	0.707
直到你告訴我你感到壓力	4.0	2.667	1.0	0.943
只有窮人才整天在推上勾心鬥角罵罵咧咧	3.0	6.75	0.0	0.433
這樣的言論會不會被帶走	4.75	4.5	0.433	0.5
異性戀結婚也不用別人同意	5.6	3.5	0.49	1.118
農民插秧被雷擊倒身亡整段過程被拍下	3.5	5.0	0.5	0.707
美國無意與伊朗戰爭	5.333	2.333	0.471	1.247
而且我沒有精細度	4.5	2.5	0.5	1.5
表面上情投意合	4.0	4.667	0.0	0.471
神經質的行為也會由此而生	3.5	5.0	0.5	0.0
進一步侵蝕高度自治	3.0	6.667	0.0	0.471
這篇文章把韓粉習性深度剖析到出神入化的地步	6.25	6.5	1.299	1.5
習近平訪英團粗魯無禮	2.667	6.333	0.943	0.943
將成為淡而無味的東西	4.0	2.333	0.0	0.471
鼓勵當地民眾學習	7.5	4.4	0.5	1.2
那幾天我在網上看到許多來自災區的殘酷圖片	3.2	5.75	1.47	0.433
完全呈現當代關係的各種微妙觀察	5.6	5.5	0.49	1.118
老了少了睪固酮就少了衝勁	4.333	4.333	0.471	1.247
修改法規又冗長費時情況下	3.5	3.5	0.5	1.5
而且為什麼尹尋的動作這麼熟練啊	5.5	6.0	1.118	0.707
否則你所謂的謙卑自我反省就自洽了	4.0	4.667	0.816	0.471
殘酷的黨內權力鬥爭	3.0	7.0	0.707	0.0
為了抄近路踐踏草坪	4.0	5.667	0.0	0.471
裝作若無其事可以嗎	3.75	6.5	0.829	0.5
為祖國效勞是我的榮幸	7.0	6.5	0.0	1.118
這樣的行為不容姑息	5.333	6.667	2.055	1.7
窩老也事仇女分子	3.6	6.0	0.49	0.707
壞運氣快結束吧!	5.0	6.25	0.707	0.433
手錶批發一件代發	5.0	3.0	0.0	2.0
傳雙方僵持不下一問題	4.0	6.333	0.0	0.943
才會輕視五四運動的重要性	3.333	5.0	0.471	0.816
那麼這個王國就會永遠繁盛下去	7.0	5.25	0.0	0.829
會期待別人依照他們的準則做事	5.75	5.75	0.433	0.829
導致跑步完有點嘔吐	3.5	5.0	0.5	2.0
從中可以照見惡和善	5.4	2.8	0.49	1.6
有了喜事和人分享	7.0	5.667	0.707	0.943
紀念我軍英烈保家衛國英勇抗暴捐軀啊	6.5	6.5	0.5	1.118
肯定S有罵學生	3.5	4.75	0.5	1.92
的推總會有莫名的喜感	7.0	6.0	0.0	0.707
被泰國政府查禁	2.5	3.25	0.5	1.09
在支那人觀念中只有壓倒別人	3.0	6.333	0.707	1.247
這是臺灣最低階的小旅館	4.5	5.0	0.5	1.0
也不會到中國人那種充滿敵意或蔑視的態度	3.0	3.667	0.0	1.247
卓越非凡之事不可勝數	7.75	5.75	0.433	0.829
虧損資金沒有形成規模	5.667	3.0	0.471	1.633
並質疑窒礙難行	4.0	4.667	0.0	0.943
約束前奏一出來我感覺我的眼眶馬上就濕潤了	6.333	8.0	0.943	0.816
他的話語簡直像鎮定劑一樣	6.5	5.5	0.5	0.5
侵吞和挪用公款	3.0	4.0	0.0	1.633
又遲到了!!!!!!!!!	3.5	8.0	0.5	0.894
從勝利走向更偉大的勝利	6.667	6.667	0.471	0.471
被監院彈劾兩次	3.6	5.25	0.49	0.433
臺灣能存活下來只有靠靈活的外交	5.5	6.0	1.118	0.0
文說要轟炸捷運一樣	3.4	5.8	0.49	1.6
是上者制定給下者遵守	5.0	4.0	0.0	3.0
心裡真是非常忐忑	3.2	5.8	0.4	1.6
藍瓶乖乖聽話水	5.5	4.5	0.5	1.118
結合人類身體美感與力量美感的作品	6.667	4.667	0.471	1.247
整個口業爆炸性癖曝光	3.25	5.5	0.433	0.5
原來我有受虐的傾向嘛	4.75	6.75	0.433	1.479
他憂心忡忡地說	3.333	5.333	0.471	1.7
簡直讓人歎為觀止	6.4	7.5	1.2	1.118
可能被要求遣返大	4.0	4.5	0.0	0.5
症狀是傳遍全身的水泡型潰瘍	5.0	4.0	0.0	0.0
基隆市長施政滿意破七成	6.5	4.6	0.5	1.855
首部以詼諧方式暗示福爾摩斯和華生關係不一般的電	6.667	4.333	0.471	0.471
基本上任何涉及現實的文藝作品都能被粉蛆意淫歪曲	2.5	5.25	0.5	1.785
如果有歹人趁機行凶	4.5	5.25	0.5	1.479
那三分鐘全國默哀時流量	5.0	1.0	0.0	0.0
是呼喚或是抒情	5.5	4.667	0.5	0.471
沒有加倍的勤奮	4.0	4.25	0.0	0.829
一旦中共霸佔臺灣	2.333	5.0	0.471	1.414
他們之所以囂張跋扈	3.4	5.0	0.49	1.673
只能接受勝利不能接受退守	5.5	6.5	0.866	0.5
祝福全天下的母親	7.333	4.0	0.471	2.16
此則名曰香光莊嚴	5.5	1.667	0.5	0.943
習近平心智不全	3.5	5.667	0.5	0.943
你哭喊多少年它們都裝作沒看見	3.0	4.25	0.0	2.385
她應該從國會中被刪除	3.667	4.333	0.471	0.471
關注切斷電話已	4.6	2.25	0.49	1.299
有?長者真係老馮得過份	3.5	6.333	1.118	1.247
女病人醫院發狂搶剪刀	3.0	5.333	0.0	0.471
漫不經心地點燃	4.5	4.5	0.5	0.5
歌頌這美麗的5月	7.667	5.667	0.471	0.471
最近欣喜若狂地吃了辣味豆乾	6.667	6.5	0.471	1.5
哥哥們的立場真的為難	3.5	5.0	0.5	1.0
臺灣人降有點自甘墮落	3.0	5.75	0.0	0.433
質樸踏實的鄰家型	6.6	5.0	0.49	0.707
遠方留下的只有一種狂躁	3.333	3.667	0.471	3.091
九份的旁支小巷就留待有空時自己獨遊品味吧	6.5	4.0	0.5	1.0
普選給予人民選擇的基本權利	7.0	5.25	0.0	0.433
人家才不是壞人呢	6.0	5.5	0.0	2.062
曼妙勻稱的身材	6.5	5.0	0.5	0.707
欺凌本國人民的腐朽政體	2.5	5.75	0.5	0.829
還規避社會的監督	3.5	5.0	0.5	0.0
包含怎麼應付一些有的沒的	4.333	3.5	0.471	1.118
斷斷續續把消滅第四集看完了	5.5	2.5	0.5	1.5
刺痛他或者讓他飄起來	5.0	5.333	0.816	0.471
而手的姿勢又可以表達很多不同的感覺	6.0	5.0	0.707	0.816
我的祈禱仍純潔	6.333	3.333	0.471	1.7
性慾與食慾都有劇烈的波動	5.0	7.0	0.0	0.0
雪覆滿白山又漸變成鬱鬱蔥蔥	5.25	4.5	0.433	0.5
必須先學會辯解	5.0	5.0	0.0	0.0
祝郭文貴安然入睡	6.5	5.0	0.5	1.0
美中兩國貿易摩擦加劇	3.5	5.5	0.5	0.5
雖然我們都很獨立	5.667	2.667	0.943	1.247
除了去發掘各地整鹹魚特色外	6.0	5.333	0.707	0.471
直到這次他自己宣佈退役	5.0	2.0	0.0	0.816
豐順安康的祈福	7.0	4.75	0.0	0.829
後世多以突出壓倒性威嚴為核心	4.667	4.667	0.471	1.886
過敏體質人深有感觸	4.667	6.0	0.471	0.816
軍事以混淆視聽	4.5	3.0	0.5	1.0
是堅守不屈不撓的光環	7.333	6.667	0.471	0.943
我來不及等你認錯悔過了	3.5	6.0	0.5	1.414
卻是讓中國百姓極大受惠	7.0	6.333	1.0	0.471
美國必須撤銷所有額外增稅	4.5	6.0	0.5	1.581
就會永遠陶醉在中國是世界的中心的夢中	5.0	4.333	1.633	0.943
可能我不經意的一句話依然會刺傷他人	3.0	6.0	0.0	0.0
你就可以失眠一整晚了	4.0	5.333	0.707	0.943
見到有人去非禮女人	3.0	5.5	1.0	1.803
久而久之演化為一種禁忌	5.0	4.0	0.0	1.414
既然別人不理你了	4.0	7.0	0.0	0.0
其航行最高時速四十四節約七十多公里	5.0	2.75	0.0	0.829
某地發生一起少年惡性傷人事件	3.0	5.0	0.0	1.414
義眼的軍務尚書只是一副學究般的沉著態度指出事實	5.0	4.0	0.0	0.816
這樣的威脅一旦實現就會破壞產業鏈	3.0	4.75	0.0	0.829
洩密中國最重可處15年徒刑	4.667	5.5	0.471	2.5
請你蠻橫地加入	5.25	6.2	0.433	1.47
虛心接受他人看法	7.0	3.667	0.707	0.471
則是悠哉地俯瞰風景翱翔	6.333	4.667	0.471	0.471
奉天命不敢為傲3	4.667	4.0	0.471	2.16
考驗我軍必勝的決心	6.0	8.0	0.0	1.0
人們就會身不由己地迷失在無常的洪流之中	3.4	4.2	0.49	1.47
微信三天不新增會失效	4.333	3.333	0.471	1.7
昨天的行情瞬間上下劇震確實讓所有人目瞪口呆	5.0	7.0	0.707	0.0
今天逛誠品買了兩本書	5.667	3.0	0.943	0.816
我過的怎樣還輪不上你插嘴	3.0	6.333	0.0	0.471
一名女子和車上的五條狗全數喪生	2.0	6.0	0.0	0.0
只要每天都會彼此掛念	5.333	6.0	0.471	0.0
乾脆徹底禁止宣傳鄧小平關於黨和國家領導體制的改革內容	3.5	6.5	0.5	0.5
我一句話不行要推翻重談	3.5	5.0	0.5	2.0
音准不准我不知道	4.667	3.667	0.471	0.943
考前自暴自棄給予自己能量	6.0	6.0	0.0	0.0
麥田和河流整天互相侵佔	4.6	4.5	0.49	0.866
風駟雲軒愁誓約	3.0	6.0	0.0	2.0
我們承衍是個很有才氣的孩子	7.0	5.5	0.0	0.5
霸權背後的悲憫與施捨	3.0	4.5	0.0	0.5
延遲的工作進度啊啊啊	3.4	8.0	0.49	0.707
各種委屈的碩珍	4.0	3.0	0.816	2.16
什麼征服宇宙啊	3.5	6.5	0.5	0.5
詹碧雲奪得東方舞	6.667	3.667	1.247	2.055
看到結果則變得更低潮	4.0	4.5	0.707	0.5
重複著一樣的離奇曲折	4.667	3.667	0.471	2.055
永遠都很耀眼的兩人	7.0	5.667	0.707	0.471
也不向愚昧低下頭顱	5.0	5.0	0.0	0.0
竟獨自奔赴墓園	4.0	7.0	0.816	0.816
但令我心動的是他看我的眼神	6.0	7.0	0.0	0.816
加上武力懸殊太大	4.667	3.25	0.471	1.785
活得這麼直線真是羨煞人也	6.6	5.25	0.49	0.433
所以也不是真的安眠藥	5.0	5.0	0.0	0.0
更多地渴求我吧	6.0	8.333	0.707	0.943
一點不誇張的說	5.667	6.667	0.471	2.055
詳細內容將陸續公佈	5.4	3.75	0.49	0.433
郭臺銘同時澄清說	5.0	5.667	0.0	1.7
晚上也要黏著達米安睡覺	5.333	3.333	1.247	1.247
幾度掙扎亦是枉然	3.0	6.0	0.0	0.707
老郭一直以獲取美國政庇為首要目標	3.5	4.5	1.5	3.5
發現樓在垂直下陷	3.6	6.0	0.49	1.0
同時焦慮還會跑進來亂我真的4不知道該怎麼辦	3.0	5.5	0.0	1.118
跟水槽裡的髒碗盤一樣	3.4	5.5	0.49	1.118
文貴呢這幾天活動非常頻繁	5.0	3.4	0.0	1.625
但你一輩子都是殘廢	3.0	6.0	0.707	0.707
這本質上可能是厭世厭生	4.0	5.0	0.0	0.0
踐踏抑制宗?信仰欺壓百姓	2.0	7.0	0.707	1.0
在酒精瀰漫的微醺下沉醉一番	6.75	4.25	0.433	0.433
八九個月了還不會自主入睡	4.0	5.0	0.0	0.894
要懂得在混沌中賦能自己	6.5	4.0	0.5	1.0
尊貴的詹杜固仁波切	6.0	5.667	0.0	0.471
但有哪一個企業主可以不顧公司股東權益的	3.75	6.0	0.829	0.707
從前是我太任性太不爭氣	3.0	6.5	0.0	1.118
一切的一切都在適應中	5.333	3.5	0.471	2.598
你沒辦法照顧到我	3.0	5.0	0.0	0.894
我想不出合適的詞來形容她	4.5	4.75	0.5	1.09
獨創韻雕添歷史新篇	6.5	3.333	0.5	0.471
但彎曲不是後退	6.5	6.0	1.118	0.707
啊啊!!你總是英俊乖乖	7.5	7.0	0.5	0.0
限制可出租日數	4.667	2.667	0.471	1.7
一種像彈珠掉地板反覆彈跳多次的聲音	5.0	2.5	0.0	0.5
天啊突然感到拮据	3.0	6.667	0.0	0.471
古人禮樂歌舞完備	6.333	3.667	0.471	1.886
美國大型車廠通用汽車	5.0	1.8	0.0	0.98
因為惡意的誕生就是為了傷人	2.333	5.333	0.471	2.055
不必因缺錢而被驅逐	7.0	5.333	0.0	0.471
而且還精心準備了諸如體育用品	6.5	6.0	0.5	0.0
回答問題說話有點分心	4.0	3.25	0.0	0.829
總是選擇陷阱讓自己跳	3.0	3.333	0.0	1.886
就要容許不同的聲音和爭辯	7.0	4.25	0.0	2.385
負面的樣子都能愛著我	6.0	4.0	0.816	2.16
總有少量虔信的人不吃他們那一套	4.5	5.0	0.866	1.225
我不承認有這麼糟糕的爸爸	3.0	6.8	0.0	0.98
如果高超的技巧運用得不得要領	3.5	3.75	0.5	1.09
將人生投於賭博的賭徒	4.0	4.5	0.0	0.866
聊了很多分手後發生的事情	5.0	4.0	0.0	1.414
腦袋發熱糊塗蛋	2.5	7.0	0.5	0.707
偶爾在陰雨綿綿的夜晚	4.4	3.25	0.49	0.829
靠著諧音惡趣味來命名的建案	4.333	4.0	0.471	0.816
本大小姐一向和藹可親	7.0	5.75	0.0	1.299
我他媽的怎麼會不懂你	3.333	8.333	1.247	0.471
豐富了我的記憶	7.333	5.333	0.471	0.471
結果在經濟趨緩時來不及煞車	3.5	5.0	0.5	1.0
我一點都不隱密	5.333	3.667	0.471	1.247
當初自己為什麼離開	5.0	5.0	0.0	0.0
當你選擇看過程的時候時間已經悄赤滷q你身邊溜走啦等你反應過來頓悟啦已經是兩鬢斑白啦那還是算是智者嗎	2.667	7.667	0.471	0.943
歡聚在一起讚美神	7.0	6.0	0.0	0.707
戰後特殊時期的通貨膨脹並不稀奇	4.667	4.333	0.471	1.247
我國企業發展活力充沛	8.0	7.5	1.0	1.5
中國傳統文化是戰勝共產黨和專制的法寶	7.0	5.0	0.707	2.121
村裡人稱陳光誠相當倔強	5.0	4.0	1.414	2.16
祂復活是祂勝過世界的一切抵擋	6.75	5.0	0.433	0.707
外賣小哥路口違停攙扶老人過馬路	6.25	3.4	0.433	1.744
還會脫力到直接昏倒	4.0	5.5	0.0	0.5
她覺得我們出去會沒話聊的婉拒了	4.667	4.667	0.943	0.471
直到最後我也還是膽小鬼嘛	3.6	6.6	0.49	0.49
你看敵人都真生氣了	3.0	5.5	1.0	0.5
特太陽是如何升起的	5.0	3.333	0.0	1.7
普通的生活真的很珍貴的	6.333	5.0	0.943	1.414
然後又是一波倒閉潮了	2.0	6.5	1.0	1.5
被戰火歲所吞沒	3.0	5.333	0.0	1.247
1948年中國物產豐饒	6.5	3.0	0.5	2.0
因為憧憬的世界是現實	5.667	5.333	1.247	0.471
仲要為自己日日加班忙碌引以為傲	5.333	6.0	0.943	0.816
至今依然吃人肉民風猖獗	3.333	5.0	0.471	0.816
畫的最偏心的四人	4.0	4.5	0.0	0.5
但是他用的方式方法觸犯了體制大忌	3.5	5.75	0.5	0.829
結果就只是單純的不歡而散	3.0	5.0	0.0	0.816
一直輪迴還是一直糾纏	3.4	5.25	0.49	0.829
如今吃的毛豆甜湯除了喜愛之外	7.0	4.0	0.0	2.121
十年前的噴詞比現在還儒雅隨和	5.333	4.333	1.247	0.471
烈酒還是無酒精飲料	5.0	2.333	0.0	0.943
一些人藉助網路表發一些不實言論	3.5	5.0	0.5	0.0
歡迎報名學習更多技巧	6.75	4.25	0.433	0.433
簡直是人生惡夢的開端	2.6	6.75	0.49	0.829
會被美國取消關稅優待	4.0	2.667	0.0	0.471
同時竟同性戀氾濫	3.0	5.25	0.0	1.299
這個照片看了心酸酸	2.75	5.0	0.433	0.707
最重要的不是甜言蜜語	6.0	5.0	1.0	0.0
被圈養獲得的安逸	5.5	3.0	1.5	2.0
幼兒又開始發燒	4.0	5.5	0.0	0.5
發達地方早拆了	3.667	4.333	0.471	1.247
和粑粑總是無障礙交流	6.667	4.667	0.943	0.471
小龍蝦養殖基地夢破滅	3.0	6.25	0.0	0.433
總是選擇自己有利的一面	3.667	5.667	0.471	0.471
國家乃至社會個人才會有光明的前途和未來	6.5	5.0	0.5	0.707
管理層太商業化到無底線	3.6	5.0	0.49	0.707
形象吹的神勇無敵	5.0	5.0	1.0	0.0
無意義房間的關卡可能會越來越多	3.5	4.0	0.5	2.0
北京可能是處在兩難狀態	4.0	2.8	0.0	1.47
而不只是做一個記錄施暴過程的相機	4.0	6.5	0.707	0.5
人性卑劣的很多	3.0	4.25	0.707	0.829
醫院經理讚演出壯麗輝煌	7.0	6.0	0.707	0.707
他就是懦夫又如何	3.333	7.0	0.471	0.816
從追貓的勇猛來看	6.5	4.667	0.5	0.471
連飯都不肯自己吃	3.5	5.5	0.5	0.5
致使警員疏於防範	3.4	5.25	0.49	0.829
能否讓阿姨畫一下自己的知識框架體系	6.0	5.5	0.0	0.5
利益這東西說不準的啊	4.0	6.667	0.0	0.471
恭喜你出道1000天了	7.0	6.333	1.414	0.471
覺得還是要努力維持跟改善	6.667	5.333	0.471	0.471
民主先生們該好好思考了	5.667	4.667	0.471	0.471
這不算是簡樸吧	4.4	5.75	0.49	0.829
被趕到的巡邏車警員制服	6.0	4.0	0.0	1.414
當事人倒是跟同伴開開心心的	4.0	6.333	0.0	0.943
我就是吃了炸藥	3.0	6.75	0.0	1.09
乞丐傳頭就破口大罵	3.333	4.333	0.471	1.247
刊登捏造的訊息	3.4	5.0	0.49	0.0
成年後鍾情文學	5.333	2.333	0.471	1.247
很興奮搬到到紐約新的總部地點	7.333	6.333	0.471	2.494
當白日總是太嚴酷	3.5	5.0	0.5	1.581
一定要他超凡入聖才肯向他下跪	4.5	5.667	0.5	0.943
我們何必苛責她	4.5	5.6	0.5	1.625
促成故事的分別在這裡	5.0	3.667	0.0	1.7
一切的悲歡離合	5.0	3.333	0.0	0.471
感覺我是不是再次遲鈍了	3.6	5.25	0.49	0.829
滅絕師太為什麼犯眾憎	4.667	4.0	0.471	2.121
很乖很溫順一直在我腳邊聞聞還讓我摸摸而黃	7.0	5.25	0.0	0.829
品嚐入口當下的美味才是最棒的	6.75	6.0	0.829	0.0
才是我最欠缺的武器啊	5.0	7.0	0.0	0.707
太郎那麼賞識康一應該是把他當男人	5.5	4.5	0.5	0.5
只係變得更加老練	6.0	4.333	0.707	0.471
又笨的不醒的佔多數	3.0	4.25	0.0	1.09
突如其來的風和日麗	6.75	6.0	0.433	1.871
大概就有人包圍官邸了	4.667	3.5	0.471	2.062
在各界砸郭人士群策群力	4.333	4.667	0.471	1.247
股市場聞風已喪膽了	2.333	4.333	0.471	0.943
我在微博經常提到天涯歷知幸咪蒙的火爆	5.0	4.333	0.0	2.055
你就會有多少光芒	6.0	4.0	0.0	2.098
原本意氣風發的人愣了愣	4.0	5.0	0.0	0.0
全跌落伊朗境內被俘	3.0	3.75	0.0	1.92
但如果你主張拆掉屋頂他們就來調和	4.5	2.333	0.5	1.247
比小學生的智力都不如	2.5	7.333	0.5	0.943
熱切期待盡早實施	6.5	6.4	0.5	1.744
還記得團委從我手裡搶走的五塊錢	4.0	4.0	0.0	0.816
馬上就找我們開槍	4.0	6.5	0.0	0.5
那次海灘上遊客稀少	5.0	3.75	0.0	0.829
既然無法證明那是真理	4.0	5.25	0.0	1.299
靈苗尚自無均等	4.667	3.667	0.471	1.247
所以其施政剛猛直接無謀無畏	6.5	6.0	0.5	1.0
如果因為週邊只有一項就覺得簡陋	4.0	6.0	0.0	0.0
最艱難的期末考	3.667	6.0	0.471	1.581
冷靜理智客觀分析事物	5.75	3.2	0.829	1.6
如果我們要清算他	4.0	6.333	0.816	0.471
缺乏睡眠使你笨拙健忘	3.333	5.333	0.471	0.471
在國際上到處肆虐的	3.75	6.0	0.433	1.414
別拿出來丟人現眼了	3.0	6.667	0.816	0.471
他們會利用談判作為手段	4.0	5.0	0.0	0.707
有些人就是選擇性失明	3.0	6.5	0.0	0.5
更像是一種傲慢的自我表現	3.4	4.5	0.49	0.5
所以毛也是最為詭計多端的	4.0	6.333	0.0	0.471
澳洲無處不成風景	6.333	5.333	0.471	0.471
當男性誇誇其談鄙視身邊女性的觀影片單	3.0	6.667	0.0	0.943
擺出忠孝仁義和	4.5	6.0	0.5	0.707
竟然連偶的龜孫都敢洗板	3.333	7.0	0.471	0.0
在歷史上的地位	5.0	4.5	0.0	0.5
郭文貴借股市用來炫耀自己	3.75	6.0	0.433	1.0
喉嚨的根部被不存在的硬塊堵塞	4.5	4.667	0.5	0.471
在尚未碰觸到肌膚之前就已離我們而去	4.333	4.667	0.943	1.886
我會為你的心產生敬意	6.75	4.25	0.829	0.829
也非常重視善惡有報的懲罰	5.667	4.333	0.471	2.494
利用烏克蘭東部恐嚇烏克蘭	3.333	5.667	0.471	0.943
所以感覺時間過得格外的快	4.75	5.5	0.433	0.5
可以不要每次都把自己包裝成甚麼悲情女主角嗎	3.333	6.0	0.471	0.816
品行方面半斤八兩	4.0	5.0	0.0	0.707
今天我和老公不約而同的默默看著女兒和另一個小孩相撞	4.0	4.0	0.0	0.0
在豆瓣竟被拿來嘲弄日本	3.0	6.5	0.0	0.5
小人醉心於個人名利	3.0	5.0	0.0	0.0
寂光院最為著名是院內的日本庭園	6.0	5.0	0.0	0.816
請給捷克廣告委員會發一封異議郵件!	4.0	5.75	0.707	1.785
同樣的戰術窘境	3.667	3.667	0.471	1.886
他的4個兒女身體健全	7.0	3.0	1.0	1.581
態度不是像川普直嗆文雅些	6.0	6.0	0.707	0.707
會引起他人不適的部位全部遮起來	5.5	5.0	0.5	0.0
郭文貴可敬可嘉	6.25	6.0	0.433	0.707
自嘆一生書裡活	4.0	4.0	0.0	0.707
政府財富不是那樣計算的	4.0	4.667	0.816	1.886
沒能說服美方取消2	3.4	4.0	0.49	0.707
並被敲詐勒索三千元錢	3.0	6.25	0.0	0.829
這個人他拿到照片的途徑是非常可恥的	2.333	5.667	0.943	1.886
這點宗和日日樹最明顯	5.0	3.667	0.0	1.7
買菜買水果卻選次級品	3.6	5.75	0.49	1.09
唯恐天下人人不知	3.667	4.667	0.943	0.471
又令卡特連任失利	3.6	3.25	0.49	1.299
小土坡裡埋葬著男子姐姐幼小的屍骸	3.0	4.0	0.0	0.707
慢慢聽他講下來聽哭了	3.75	4.25	0.433	1.785
但在這個噱頭下這部番真的太平庸了	4.333	6.0	0.471	0.816
所有紛爭都能迎刃而解	7.0	5.75	0.0	0.433
所以到時候只是換人殖民罷了	3.5	5.333	0.5	0.471
是覺得自己辜負了那些幫我加油	3.0	4.8	0.0	1.833
我認識的軍公教是都滿節儉的	6.0	3.667	0.0	1.247
不能遵行主的要求與人和睦相處	3.6	3.8	0.49	2.315
我還是不太能習慣推特不能修改這件事	4.0	5.5	0.0	0.5
就形同叛亂或內亂	3.0	7.0	0.0	0.816
我每一次上吊都是掛在繩子上吐氣呼吸	4.5	5.5	0.5	3.5
財產被法西斯獨裁習	3.667	6.0	0.471	0.0
最後可能會被海給淹沒了	3.25	5.75	0.433	0.433
其中仁慈會下降的月份	4.0	2.0	0.0	0.0
但還是會隨機出沒	5.0	6.0	0.0	0.0
支配與施暴的生活便隨即展開	3.0	5.0	0.0	0.707
共和黨勝選的可能性渺茫	3.5	3.75	0.5	1.299
啊呸呸呸呸呸呸	3.0	8.75	0.0	0.433
但其實我期望以前的自己再更努力	5.5	5.8	0.866	0.98
只是標準作業程式北韓在4日及9日二度無預警發射不明飛行物	3.6	5.0	0.49	2.0
可以使勁的舔阿言的顏	7.0	6.333	0.0	1.7
是紀念青春的依戀	6.5	4.4	0.5	1.855
手腳指都發炎了	3.4	4.5	0.49	0.5
妳不僅沒有壹絲憐惜	3.0	7.667	0.0	0.471
曰自力更生更可靠	6.25	6.0	0.433	1.0
中國傳統文化及乎無一可取	2.0	6.333	0.816	0.943
